comparison	gmt_set	status	total_genes	gmt_set_size	top_250_in_set	bottom_250_in_set	jaccard_distance	error
Testis 20-29 vs 30-39	Up	Success	21494.0	250	15.0	0.0	0.9691	
Testis 20-29 vs 30-39	Down	Success	21494.0	250	1.0	11.0	0.9775	
Nerve 20-29 vs 70-79	Up	Success	16409.0	250	69.0	0.0	0.8399	
Nerve 20-29 vs 70-79	Down	Success	16409.0	250	1.0	68.0	0.8426	
AdiposeTissue 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdiposeTissue_20-29_vs_70-79/de_genes_with_gmt.tsv
AdiposeTissue 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdiposeTissue_20-29_vs_70-79/de_genes_with_gmt.tsv
Lung 20-29 vs 30-39	Up	Success	16881.0	250	21.0	2.0	0.9562	
Lung 20-29 vs 30-39	Down	Success	16881.0	250	3.0	15.0	0.9691	
Heart 20-29 vs 40-49	Up	Success	15839.0	250	45.0	8.0	0.9011	
Heart 20-29 vs 40-49	Down	Success	15839.0	250	2.0	37.0	0.9201	
Pituitary 20-29 vs 60-69	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Pituitary_20-29_vs_60-69/de_genes_with_gmt.tsv
Pituitary 20-29 vs 60-69	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Pituitary_20-29_vs_60-69/de_genes_with_gmt.tsv
Liver 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Liver_20-29_vs_30-39/de_genes_with_gmt.tsv
Liver 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Liver_20-29_vs_30-39/de_genes_with_gmt.tsv
Pituitary 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Pituitary_20-29_vs_70-79/de_genes_with_gmt.tsv
Pituitary 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Pituitary_20-29_vs_70-79/de_genes_with_gmt.tsv
Heart 20-29 vs 50-59	Up	Success	16746.0	250	56.0	8.0	0.8739	
Heart 20-29 vs 50-59	Down	Success	16746.0	250	3.0	49.0	0.8914	
Esophagus 20-29 vs 30-39	Up	Success	17302.0	250	37.0	1.0	0.9201	
Esophagus 20-29 vs 30-39	Down	Success	17302.0	250	3.0	38.0	0.9177	
Brain 20-29 vs 40-49	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Brain_20-29_vs_40-49/de_genes_with_gmt.tsv
Brain 20-29 vs 40-49	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Brain_20-29_vs_40-49/de_genes_with_gmt.tsv
Ovary 20-29 vs 40-49	Up	Success	15848.0	250	20.0	2.0	0.9583	
Ovary 20-29 vs 40-49	Down	Success	15848.0	250	4.0	5.0	0.9899	
Stomach 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Stomach_20-29_vs_30-39/de_genes_with_gmt.tsv
Stomach 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Stomach_20-29_vs_30-39/de_genes_with_gmt.tsv
BloodVessel 20-29 vs 40-49	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/BloodVessel_20-29_vs_40-49/de_genes_with_gmt.tsv
BloodVessel 20-29 vs 40-49	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/BloodVessel_20-29_vs_40-49/de_genes_with_gmt.tsv
Pancreas 20-29 vs 50-59	Up	Success	16071.0	250	37.0	3.0	0.9201	
Pancreas 20-29 vs 50-59	Down	Success	16071.0	250	2.0	28.0	0.9407	
BloodVessel 20-29 vs 50-59	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/BloodVessel_20-29_vs_50-59/de_genes_with_gmt.tsv
BloodVessel 20-29 vs 50-59	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/BloodVessel_20-29_vs_50-59/de_genes_with_gmt.tsv
Pancreas 20-29 vs 40-49	Up	Success	15090.0	250	19.0	1.0	0.9605	
Pancreas 20-29 vs 40-49	Down	Success	15090.0	250	4.0	12.0	0.9754	
Brain 20-29 vs 50-59	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Brain_20-29_vs_50-59/de_genes_with_gmt.tsv
Brain 20-29 vs 50-59	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Brain_20-29_vs_50-59/de_genes_with_gmt.tsv
Ovary 20-29 vs 50-59	Up	Success	16516.0	250	21.0	6.0	0.9562	
Ovary 20-29 vs 50-59	Down	Success	16516.0	250	1.0	22.0	0.954	
Muscle 20-29 vs 50-59	Up	Success	15123.0	250	53.0	1.0	0.8814	
Muscle 20-29 vs 50-59	Down	Success	15123.0	250	1.0	52.0	0.8839	
Thyroid 20-29 vs 30-39	Up	Success	16545.0	250	6.0	9.0	0.9879	
Thyroid 20-29 vs 30-39	Down	Success	16545.0	250	2.0	14.0	0.9712	
Blood 20-29 vs 50-59	Up	Success	14760.0	250	39.0	0.0	0.9154	
Blood 20-29 vs 50-59	Down	Success	14760.0	250	0.0	19.0	0.9605	
Colon 20-29 vs 60-69	Up	Success	18782.0	250	84.0	0.0	0.7981	
Colon 20-29 vs 60-69	Down	Success	18782.0	250	0.0	142.0	0.6034	
Uterus 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Uterus_20-29_vs_30-39/de_genes_with_gmt.tsv
Uterus 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Uterus_20-29_vs_30-39/de_genes_with_gmt.tsv
Skin 20-29 vs 40-49	Up	Success	18417.0	250	13.0	9.0	0.9733	
Skin 20-29 vs 40-49	Down	Success	18417.0	250	51.0	24.0	0.9496	
SalivaryGland 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SalivaryGland_20-29_vs_30-39/de_genes_with_gmt.tsv
SalivaryGland 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SalivaryGland_20-29_vs_30-39/de_genes_with_gmt.tsv
Spleen 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Spleen_20-29_vs_30-39/de_genes_with_gmt.tsv
Spleen 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Spleen_20-29_vs_30-39/de_genes_with_gmt.tsv
Skin 20-29 vs 50-59	Up	Success	18969.0	250	36.0	2.0	0.9224	
Skin 20-29 vs 50-59	Down	Success	18969.0	250	0.0	44.0	0.9035	
Kidney 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Kidney_20-29_vs_30-39/de_genes_with_gmt.tsv
Kidney 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Kidney_20-29_vs_30-39/de_genes_with_gmt.tsv
Colon 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Colon_20-29_vs_70-79/de_genes_with_gmt.tsv
Colon 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Colon_20-29_vs_70-79/de_genes_with_gmt.tsv
Blood 20-29 vs 40-49	Up	Success	15498.0	250	11.0	10.0	0.9775	
Blood 20-29 vs 40-49	Down	Success	15498.0	250	14.0	23.0	0.9518	
Muscle 20-29 vs 40-49	Up	Success	14564.0	250	40.0	2.0	0.913	
Muscle 20-29 vs 40-49	Down	Success	14564.0	250	0.0	29.0	0.9384	
